Elliston Poets-in-Residence,Nobel Prize in Literature,National Book Critics Circle,The New American Poetry,New York School,Black Mountain,San Francisco Renaissance,US Poets Laureate,Frost Medal,International Poets,Asian-American Poets and Writers,Latin@ Poets and Writers,Poets of Disability,Disability Poetics,Yale Younger Poets
"Phillips, Carl","Heaney, Seamus","Wright, C. D.","Ashbery, John, 1927-","Ashbery, John, 1927-","Creeley, Robert, 1926-2005","Duncan, Robert","Shapiro, Karl, 1913-2000","Bly, Robert","Agha, Shahid Ali, 1949-2001","Hongo, Garrett Kaoru, 1951-","Morín, Tomás Q.","Weise, Jillian Marie","Giscombe, C. S., 1950-","Manning, Maurice, 1943-"
"Szybist, Mary, 1970-","Miłosz, Czesław","Wright, Charles","Creeley, Robert, 1926-2005","Koch, Kenneth L.","Dorn, Edward","Snyder, Gary","Jarrell, Randall","Nelson, Marilyn","Amichai, Yehuda","Lee, Chang-rae","Sánchez, Sonia",,"Rich, Adrienne, 1929-2012","Kelly, Brigit Pegeen, 1951-"
"Williams, C. K. (Charles Kenneth), 1936-2015",,"Goldbarth, Albert","Dorn, Edward",,"Duncan, Robert",,"Frost, Robert","Simic, Charles, 1938-","Barnes, Julian","Leung, Brian","Alvarez, Julia",,"Weise, Jillian Marie","Forché, Carolyn"
"Emerson, Claudia, 1957-2014",,"Doty, Mark","Duncan, Robert",,,,"Eberhart, Richard, 1904-2005","Kennedy, X. J.","Chouliaras, Giōrgos, 1914-2001","Shaughnessy, Brenda, 1970-","Soto, Gary",,,"Valentine, Jean"
"Hayes, Terrance",,"Jones, Rodney","Field, Edward",,,,"Stafford, William","Harper, Michael S., 1938-2016","Donoghue, Denis","Naca, Kristin A.","Naca, Kristin A.",,,"Davison, Peter"
"Goldbarth, Albert",,"Hall, Donald","Ginsberg, Allen",,,,"Hoffman, Daniel","Hollander, John","Fernández, Pablo Armando, 1930-","Arrieu-King, Cynthia","Campo, Rafael",,,"Hollander, John"
"Fulton, Alice",,"Glück, Louise, 1943-","Koch, Kenneth L.",,,,"Wilbur, Richard, 1921-","Kumin, Maxine, 1925-2014","Gimba, Abubakar",,,,,"Ashbery, John, 1927-"
"Emanuel, Lynn, 1949-",,"Ashbery, John, 1927-","Levertov, Denise, 1923-1997",,,,"Strand, Mark","Howard, Richard","Grennan, Eamon, 1941-",,,,,"Hoffman, Daniel"
"Koethe, John, 1945-",,"Levine, Philip","Snyder, Gary",,,,"Dove, Rita","Kinnell, Galway, 1927-2014","Gunn, Thom",,,,,"Rich, Adrienne, 1929-2012"
"St. John, David, 1918-2007",,"Olds, Sharon",,,,,"Pinsky, Robert","Sánchez, Sonia","Heaney, Seamus",,,,,"Merwin, W. S. (William Stanley), 1927-"
"Peacock, Molly, 1947-",,"Pollitt, Katha",,,,,"Glück, Louise, 1943-","Wilbur, Richard, 1921-","Lihn, Enrique",,,,,
"Dennis, Carl",,"Williams, C. K. (Charles Kenneth), 1936-2015",,,,,"Kooser, Ted","Ashbery, John, 1927-","Merdzhanski, Kiril, 1955-",,,,,
"Wright, C. D.",,"Hirsch, Edward",,,,,"Hall, Donald","Stafford, William","Miłosz, Czesław",,,,,
"Gregerson, Linda",,,,,,,"Simic, Charles, 1938-","Hall, Donald","Walcott, Derek",,,,,
"Taylor, Henry",,,,,,,"Merwin, W. S. (William Stanley), 1927-","Levertov, Denise, 1923-1997","Zamora, Daisy",,,,,
"Jones, Rodney",,,,,,,"Wright, Charles","Kizer, Carolyn",,,,,,
"Hirshfield, Jane, 1953-",,,,,,,"Kumin, Maxine, 1925-2014","Creeley, Robert, 1926-2005",,,,,,
"Prunty, Wyatt",,,,,,,"Levine, Philip","Ginsberg, Allen",,,,,,
"Wright, Jay",,,,,,,,"Eberhart, Richard, 1904-2005",,,,,,
"Voigt, Ellen Bryant, 1943-",,,,,,,,,,,,,,
"Davie, Donald",,,,,,,,,,,,,,
"Smith, Dave",,,,,,,,,,,,,,
"Lehmann, David",,,,,,,,,,,,,,
"Nelson, Marilyn, 1946-",,,,,,,,,,,,,,
"McHugh, Heather, 1948-",,,,,,,,,,,,,,
"Haines, John",,,,,,,,,,,,,,
"Flanders, Jane, 1940-",,,,,,,,,,,,,,
"Corn, Alfred, 1943-",,,,,,,,,,,,,,
"Hacker, Marilyn, 1942-",,,,,,,,,,,,,,
"Oliver, Mary",,,,,,,,,,,,,,
"Piercy, Marge",,,,,,,,,,,,,,
"Howard, Richard",,,,,,,,,,,,,,
"Valentine, Jean",,,,,,,,,,,,,,
"Silkin, Jon",,,,,,,,,,,,,,
"Gunn, Thom",,,,,,,,,,,,,,
"Kizer, Carolyn",,,,,,,,,,,,,,
"Harper, Michael",,,,,,,,,,,,,,
"Ashbery, John, 1927-",,,,,,,,,,,,,,
"Glück, Louise, 1943-",,,,,,,,,,,,,,
"Levine, Philip",,,,,,,,,,,,,,
"Snyder, Gary",,,,,,,,,,,,,,
"Stafford, William",,,,,,,,,,,,,,
"Berry, Wendell, 1934-",,,,,,,,,,,,,,
"Levertov, Denise, 1923-1997",,,,,,,,,,,,,,
"Wallace, Robert",,,,,,,,,,,,,,
"Simpson, Louise",,,,,,,,,,,,,,
"Wain, John",,,,,,,,,,,,,,
"Hollander, John",,,,,,,,,,,,,,
"Wagoner, David",,,,,,,,,,,,,,
"Justice, Donald, 1925-2004",,,,,,,,,,,,,,
"Hall, Donald",,,,,,,,,,,,,,
"Donoghue, Denis",,,,,,,,,,,,,,
"Hoffman, Daniel",,,,,,,,,,,,,,
"Press, John",,,,,,,,,,,,,,
"Eberhart, Richard, 1904-2005",,,,,,,,,,,,,,
"Daiches, David, 1912-2005",,,,,,,,,,,,,,
"Shapiro, Karl, 1913-2000",,,,,,,,,,,,,,
"Jarrell, Randall",,,,,,,,,,,,,,
"Betjeman, John, 1906-1984",,,,,,,,,,,,,,
"Frost, Robert",,,,,,,,,,,,,,
"Lowell, Robert",,,,,,,,,,,,,,
"Spender, Stephen",,,,,,,,,,,,,,
"Berryman, John",,,,,,,,,,,,,,
"Coffin, Robert P. Tristram (Robert Peter Tristram), 1892-1955",,,,,,,,,,,,,,
